sample_filename,raw_sha,converted_sha
202405081555_EB_dbgi_001197_01_01.mzML,22b090b63c7eba76995411df7ab9a8c8c4a9cc5a,b4b22e6ba174a7f3c560125776d09bfc3bd841b0
20240307_EB_dbgi_002607_01_01.mzML,aa5a4783e88440ea085bf3ee536af8f1cdbf916a,ff5c5d0966b299b29be5112ff29e954bcac1578a
20240405_EB_dbgi_001825_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,f264ae31f6bc33d352548bcb19737beafaf3286f,f02709c7639f928a71642a7ffc42c7c28d92875f
202404191203_HC_dbgi_002491_01_01.mzML,fc271adead144556616c46f4392dde87fdbafd44,1a508c08d8d7070d2bf98410f88d55dc6deb521c
202405241509_EB_dbgi_001043_01_01.mzML,973e6a37d4de10e0366bc11b730b3d910f39e7eb,14ea2ff05ecf0d0f19196768132e6cfa75719196
202404191203_HC_dbgi_002928_02_01.mzML,5d07405bec8faabcc48a695887de78b630d022e6,41d0fbe8893843f428ff977d4849bdc23b26af42
202405081555_EB_dbgi_001834_01_01.mzML,9a9091a465f15c29624e682499c59a1ae4c2fc6f,2d224460341311716fce7b6bfbf3f29eda3a8638
20240405_EB_dbgi_002431_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,1174485dbfe26e7a5cfd3e734c70343b3bb7dc29,b056cb89f1e8b9bcbbeb2507ebbd5f61997568fd
20240405_EB_dbgi_002949_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,43a530400864950ce9dc78107d5db1e1bd77f8e2,757bdf781fac1aba07d3e5015e7131d7b5a3647f
20240405_EB_dbgi_003037_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,4c4694ba3bf3cd2d89be38a6f78fb47f62e7d98a,5b4d7ec69a43a9f34e04942e376b59300441615a
20240405_EB_dbgi_002872_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,522124e5447e67330d3349eddbd9d11a956a933f,004f8437d3c091d8308696eabc3c1a2177ee206c
20240307_EB_dbgi_002628_01_01.mzML,3328de4e39b86208a2148c1c9d705706bcf59aaa,478d1aba5108ef2894228136376a3378ffacbbbe
202404191203_HC_dbgi_002774_01_01.mzML,bda0dd370d4f36827f0187d376c3ff1ea46583de,d7f4900930fa9ee1da11562f77039c22335089ad
20240405_EB_dbgi_002973_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,27bc0e21e7a569ec9b5ddca89da8542b0f218669,f413b12d835ad773806a316d198b453b7d5384ae
20240307_EB_dbgi_002661_01_01.mzML,d83321d476b35a9e62900e225672b5e19d867fc5,4012578dd707a39b83a2914bc794f7621f724146
20240307_EB_dbgi_001215_01_01.mzML,f3bba07366cd2a67a6ef144d1da6306b7a71c071,3e31a56835d044d6df37df716ae5f7e2ec60a69d
20240307_EB_dbgi_002523_01_01.mzML,cc6959e66dd4005bc67e41c488902941b215f640,7cf1ec3c27e77aa722fc202c46be386f5a78f046
20240405_EB_dbgi_003095_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,b20b2b519bc82abd8cdaa0332dc8cd6f43b29fb1,83a4d92b5860560ac1b16453ed34a45db562b347
202404191203_HC_dbgi_002964_01_01.mzML,3a6bab550efd6784b35d01c90277dc180c4b2ec6,01f30dfdce1a01ef56c40983033da15d7a701765
202405081555_EB_dbgi_002313_01_01.mzML,93a219ea96ca132d63a5b3f0c4658760e30b899a,f5166016cf4d7bf101e58b0d2ea057bfdff55e95
202405081555_EB_dbgi_003026_01_01.mzML,ddbb19d58d2d94f995162f68f42ca25520b3ae76,c909c36be7efacf3088e954b2b753d9bde3273d3
202405081555_EB_dbgi_002719_01_01.mzML,919e5093448ca5a1425efacf597c8ab66fcb974c,4bd7ffaae4ff885c6d6f3767ccbd608137a8f969
202404191203_HC_dbgi_002878_01_01.mzML,b821a9b430fc10ea9ca8a83855918ed966676502,f9cc0eb094968f7a9b1ec87cdcf25a2451af6735
202405081555_EB_dbgi_001751_01_01.mzML,81bfe17c5fac6c5cae58a590c61891d6fa3e594d,df3283c04289b85afd64b955f44a66f1fc634b19
202405081555_EB_dbgi_002580_01_01.mzML,bad1d89fd736ad0a45b7c13ecfdea424b4063e5c,57499f7bdeb7bb0c99a8cb5a4ba112d463bc6861
202404191203_HC_dbgi_003212_01_01.mzML,14ed2269e8c8d5d6a9a90d4cd73c89d9f6cea348,54dd34e28aa855161b0f78192d0b295768637557
20240405_EB_dbgi_002846_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,83f97e66790cb12ad25a56685e72ccb5c401eccd,bd9b8e35b9b6f47549dec265455f796cc317dd29
20240405_EB_dbgi_003120_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,214dac9c13082827b6141a424c6d63c9cffa559c,d137f49f9e03c4ba3bdcd96f5e785df8abf74bdc
202405081555_EB_dbgi_003000_01_01.mzML,f3d0829b9a15d743be1af82e5599c2b7d5e7b83c,0d4d0dc7a98117cb3ce337432a40ddc34cb373a1
202404191203_HC_dbgi_002816_01_01.mzML,52e6241dc9382d094251ac4ae38315213c40b41f,2a5fdd175ec8dadd0bf3b12579db0d7de16ffa75
20240307_EB_dbgi_002489_01_01.mzML,0c041b2cd82b1e1a17bfb204350f0da300a9edc9,692dcbb5c714750e982d51e225e934fad4c9ae1a
202405081555_EB_dbgi_001913_01_01.mzML,93fd3d5c96682e7132ca3a8c0e9752d55f4fc11c,e366249b7fcffbfeb6bcb9e07c4b4c83958b4cef
202405241509_EB_dbgi_002583_01_01.mzML,8ef7458b3c715416593e10e3bb2f2a8c80c06e09,18a62c2567307251473f61877f5a403a49bbc583
202405241509_EB_dbgi_001769_01_01.mzML,070845c131a72ae306ddcb75c8718864add43b65,60994b93b62936a81ed993ad6e2b88f089922577
202405081555_EB_dbgi_001795_01_01.mzML,96c58f8575b134add15a96dd5f0cfb978bb588ea,c23aac752cbba2af8746ab183647370d687e4c3d
20240307_EB_dbgi_001805_01_01.mzML,58eea6772c83debca10b6f0f6eb7443b622de8e6,99c18d56d73124283e3239fdc088591c946505d4
202405241509_EB_dbgi_002591_01_01.mzML,c766d24ad73b00fedb1ba7b617664613ce45078e,0e79ace40a6b2a22fb2e66f74394aca2e5124dc5
20240405_EB_dbgi_002831_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,6e4c116364d2651682c05e948f193ae2c8009496,920dd9db97202490234c21e09eaaa994619b522b
202405081555_EB_dbgi_001840_01_01.mzML,cdca8b2b9cff769b8d3a6bc2ef216e90a1a3050a,acf64afe519c5e73ccfb00a3c2418b79c4510851
20240307_EB_dbgi_002702_01_01.mzML,7439494e4cd54bfcbacd53f090a688e15a7bf0ba,3c6f05c21e43e547ff3b68b347a38d266d342db8
202404191203_HC_dbgi_002974_01_01.mzML,b45afb95e5ebdb6a4defe08174c73a175d9e046e,b0c04d4939c3b6601f3977a37f5d96a010d35a0b
202405081555_EB_dbgi_001856_01_01.mzML,ac6e53c21e0e62bd357534ff79234a0c5a24b937,66ee29e5211a5b51268e7ed98c89a9e3d651dcdf
202404191203_HC_dbgi_003217_01_01.mzML,9d9ff66cd67f6b4852927957682c97386edd8bed,ef5c4f6c22a0396c7406ae3eed910da57e91878c
20240307_EB_dbgi_002483_01_01.mzML,1f353e83bd708a503911a43f116c060073ae443d,cc8435fd39a801411396e2cc6e2285235e63c821
20240405_EB_dbgi_001898_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,5f8d5ac24912a926679d8200b9c7c9eed707d2d8,ae980152d3778b38ebf99a356c3bdacf1938f6bc
20240307_EB_dbgi_002699_01_01.mzML,da075ec7e67992aa2203bc3430cc224f166a603c,feb341d0af370be78419e4a534844127f400c7ce
202404191203_HC_dbgi_002827_01_01.mzML,f4e39fd8b291f59c7f1d5b02ce1beb0c4c17cd02,0f45b47769d16b0f8f6c31219c8173c34edfaf32
20240307_EB_dbgi_002623_01_01.mzML,302c2e18887e3ae70371ce1ba00f08cc97a71328,de75c3813d3e7cad03abd3d7642bf41852ec44e1
202405081555_EB_dbgi_002590_01_01.mzML,d5f5a860c37149fa4b621c97065e91f3e86bb5c0,f2420ffc0021b642f5760ad8e6c4a8d87b121c6c
20240307_EB_dbgi_001867_01_01.mzML,a12bff8fbb6b519a419416adb774e7eb208fede4,e381c425036deffd103378a2b71d12fc024668f0
20240307_EB_dbgi_002272_01_01.mzML,94dece60d541d53a1879ec6e9d87346dca5abd94,1ff7d3b972e58cf915beab9fe447aac7218ce001
20240405_EB_dbgi_002506_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,72a72a4a88812892bf8540fe0d4083d75b3bc5e2,a76531fd2b57e2bc50ee9662daf68a76de411048
20240405_EB_dbgi_002836_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,9e0c7e6aa70e49a06ab6157fd95bb5c8890aab6c,ecc8af7465aa41ce7f6621e47448ba258ecad75f
202404191203_HC_dbgi_003109_01_01.mzML,83541b505c4b1319c706126c842ee01239431222,11c3872cea210eb8321d8a02f84ff6d72ac12861
202405081555_EB_dbgi_002621_01_01.mzML,fc708cb4793ac0fbb2729a44ebbcbc8f1d135ded,5e28f2f3cf27515ca8357f536a3bba8d06fe2a79
202405241509_EB_dbgi_002285_01_01.mzML,0b819246cd15f6a2a88ce9f3e6d43b6a5e42d072,81248db0324df982c65144d01a63da25b310ae7a
202405241509_EB_dbgi_002709_01_01.mzML,c63f6a411e866dc889709e0f2c9a54fd5e3324f9,8fa43813862fb0390a52f53ae3ad6c918f166613
20240307_EB_dbgi_003013_01_01.mzML,9481f73251c7266a2e4bdf5aca13cb4aec3b5369,2a5e00ba20b5bd36a133e86435f3094709dce259
202405171439_HC_dbgi_002789_01_01.mzML,3cd5eb6577fb85a61c49149ee5060c82f8b4ce22,cda9a925645ad54af9425d7f3b14d681cff3e380
202405241509_EB_dbgi_002472_01_01.mzML,eeaa82e3e5a5bfc36a5439716c12161ee69f942f,300ae4d97b1063bca3b91a0ceefe8b33c9a51ee4
202405081555_EB_dbgi_002479_01_01.mzML,50d5e1da3730cc48ac9a0018d9d5192c56d7d5df,066e24b3482e110bff876554179070e5e7550aad
20240405_EB_dbgi_002823_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,e9ecb47b06d58dc81b2f4eda38cff9a34f0aa07c,1bfbfcf31dc53382e980bf0e61665a3aee0591ae
202404191203_HC_dbgi_002900_01_01.mzML,e707f14e2f2fd4a8a4b4e7d816a5eab20795e4e6,9cb12e4216816cebcec459aa7925e3f73fa35b6a
