is_approximate_match,is_synonym,matched_name,nomenclature_code,score,search_string,taxon.flags,taxon.is_suppressed,taxon.is_suppressed_from_synth,taxon.name,taxon.ott_id,taxon.rank,taxon.source,taxon.synonyms,taxon.tax_sources,taxon.unique_name
False,False,Adenophora liliifolia,ICN,1.0,adenophora liliifolia,[],False,False,Adenophora liliifolia,631477,species,ott3.6draft1,"['Adenophora alpini', 'Adenophora communis', 'Adenophora communis integerrima', 'Adenophora cordata', 'Adenophora fischeri', 'Adenophora intermedia', 'Adenophora liliifolia alba', 'Adenophora liliifolia angustata', 'Adenophora liliifolia angustifolia', 'Adenophora liliifolia genuina', 'Adenophora liliifolia infundibuliformis', 'Adenophora liliifolia integerrima', 'Adenophora liliifolia pocsii', 'Adenophora liliifolia spreta', 'Adenophora liliifolia stylosa', 'Adenophora liliifolia suaveolens', 'Adenophora liliifolia villosula', 'Adenophora marsupiiflora pilosa', 'Adenophora mikoi', 'Adenophora periplocifolia', 'Adenophora perpallens', 'Adenophora polymorpha', 'Adenophora polymorpha integerrima', 'Adenophora polymorpha integrisepala', 'Adenophora polymorpha raddeana', 'Adenophora polymorpha rhombifolia', 'Adenophora radiatifolia rhombifolia', 'Adenophora rhomboidea', 'Adenophora setulosa', 'Adenophora stylosa', 'Adenophora suaveolens', 'Adenophora suaveolens latifolia', 'Campanula alpini', 'Campanula alpini asperula', 'Campanula alpini botryantha', 'Campanula alpini hirtula', 'Campanula alpini hungarica', 'Campanula alpini polyadenia', 'Campanula alpini setulosa', 'Campanula alpini villosula', 'Campanula cordata', 'Campanula fischeri', 'Campanula intermedia', 'Campanula liliflora', 'Campanula liliflora stylosa', 'Campanula liliifolia', 'Campanula liliifolia hirta', 'Campanula liliifolia polyadenia', 'Campanula liliifolia setulosa', 'Campanula mikoi', 'Campanula periplocifolia', 'Campanula perpallens', 'Campanula rhomboidea', 'Campanula spreta', 'Campanula stylosa', 'Campanula suaveolens', 'Campanula suaveolens oppr', 'Campanula subuniflora', 'Campanula umbrosa']","['ncbi:361368', 'gbif:5409500']",Adenophora liliifolia
False,False,Adiantum,ICN,1.0,adiantum,[],False,False,Adiantum,164367,genus,ott3.6draft1,"['Adianthum', 'Hewardia']","['ncbi:13817', 'gbif:2650796', 'irmng:1117105']",Adiantum
False,False,Aegopodium podagraria,ICN,1.0,aegopodium podagraria,[],False,False,Aegopodium podagraria,328768,species,ott3.6draft1,"['Aegopodium podagraria variegatum', 'Ligusticum podagraria']","['ncbi:40902', 'gbif:3034620', 'irmng:10204244']",Aegopodium podagraria
False,False,Aeschynanthus longicaulis,ICN,1.0,aeschynanthus longicaulis,[],False,False,Aeschynanthus longicaulis,35527,species,ott3.6draft1,"['Aeschynanthus griffithii', 'Aeschynanthus marmoratus', 'Aeschynanthus zebrinus', 'Trichosporum griffithii', 'Trichosporum longicaule', 'Trichosporum marmoratum']","['ncbi:175986', 'gbif:3825597']",Aeschynanthus longicaulis
False,False,Aeschynanthus radicans,ICN,1.0,aeschynanthus radicans,[],False,False,Aeschynanthus radicans,966758,species,ott3.6draft1,"['Aeschynanthus malaccensis', 'Aeschynanthus wallichii', 'Trichosporum ovatum', 'Trichosporum radicans', 'Trichosporum wallichii']","['ncbi:45166', 'gbif:3824355', 'gbif:3824774']",Aeschynanthus radicans
False,False,Agastache rugosa,ICN,1.0,agastache rugosa,[],False,False,Agastache rugosa,485528,species,ott3.6draft1,"['Agastache formosana', 'Agastache rugosa alba', 'Agastache rugosa hypoleuca', 'Cedronella japonica', 'Elsholtzia monostachys', 'Lophanthus formosanus', 'Lophanthus rugosus', 'Lophanthus rugosus hypoleucus']","['ncbi:39271', 'gbif:7307327']",Agastache rugosa
False,False,Ageratina altissima,ICN,1.0,ageratina altissima,['sibling_higher'],False,False,Ageratina altissima,345514,species,ott3.6draft1,"['Ageratina ageratoides', 'Ageratina liebmannii', 'Ageratum altissimum', 'Ageratum altissimum L., 1753', 'Batschia nivea', 'Cronquistianthus bulliferus', 'Cronquistianthus rugosus', 'Eupatorium aboriginum', 'Eupatorium ageratoides', 'Eupatorium ageratoides angustatum', 'Eupatorium altissimum', 'Eupatorium boreale', 'Eupatorium bulliferum', 'Eupatorium cordatum fraseri', 'Eupatorium elatum', 'Eupatorium eurybiaefolium', 'Eupatorium eurybiifolium', 'Eupatorium floridanum', 'Eupatorium fraseri', 'Eupatorium frasieri', 'Eupatorium hirsutum', 'Eupatorium hirsutum hirsutum', 'Eupatorium liebmannii', 'Eupatorium odoratum', 'Eupatorium pseudohirsutum', 'Eupatorium ramosum', 'Eupatorium roanense', 'Eupatorium rugosum', 'Eupatorium rugosum chlorolepis', 'Eupatorium rugosum rugosum', 'Eupatorium rugosum tomentellum', 'Eupatorium rugosum villicaule', 'Eupatorium rupestre', 'Eupatorium saltuense', 'Eupatorium schraderi', 'Eupatorium sprengelianum', 'Eupatorium urticaefolium', 'Eupatorium urticifolium', 'Eupatorium urticifolium congesta', 'Eupatorium urticifolium tomentellum', 'Eupatorium urticifolium trifolium', 'Eupatorium urticifolium verticillatum', 'Eupatorium urticifolium villicaule', 'Kyrstenia aboriginum', 'Kyrstenia altissima', 'Kyrstenia borealis', 'Uncasia altissima']","['ncbi:102750', 'gbif:3103578', 'gbif:8841379', 'gbif:5402907', 'gbif:5400552', 'gbif:5400685', 'irmng:10203145']",Ageratina altissima
False,False,Aglaonema commutatum,ICN,1.0,aglaonema commutatum,[],False,False,Aglaonema commutatum,4001071,species,ott3.6draft1,"['Aglaonema elegans', 'Aglaonema maculatum', 'Aglaonema marantifolium commutatum', 'Aglaonema robustum', 'Aglaonema warburgii']","['ncbi:1210880', 'gbif:2866467', 'irmng:10861257']",Aglaonema commutatum
False,False,Aglaonema modestum,ICN,1.0,aglaonema modestum,[],False,False,Aglaonema modestum,1003614,species,ott3.6draft1,"['Aglaonema acutispathum', 'Aglaonema costatum viride', 'Aglaonema laoticum']","['ncbi:174182', 'gbif:2866488', 'irmng:11232098']",Aglaonema modestum
False,False,Albizia julibrissin,ICN,1.0,albizia julibrissin,[],False,False,Albizia julibrissin,39517,species,ott3.6draft1,"['Acacia julibrissin', 'Acacia mollis', 'Acacia nemu', 'Albizia isembergiana', 'Albizia julibrissin speciosa', 'Albizia mollis', 'Albizia nemu', 'Albizzia julibrissin', 'Feuilleea julibrissin', 'Mimosa arborea', 'Mimosa julibrissin', 'Mimosa speciosa', 'Sericandra julibrissin']","['ncbi:3813', 'gbif:2972983', 'irmng:10161106']",Albizia julibrissin
False,False,Alcea rosea,ICN,1.0,alcea rosea,[],False,False,Alcea rosea,97193,species,ott3.6draft1,"['Alcea cultorum', 'Alcea ficifolia', 'Alcea rosea ficifolia', 'Alcea rosea nigra', 'Althaea caribaea', 'Althaea chinensis', 'Althaea coromandeliana', 'Althaea cultorum', 'Althaea ficifolia', 'Althaea flexuosa', 'Althaea mexicana', 'Althaea rosea', 'Althaea rosea sinensis', 'Althaea sinensis', 'Malva florida', 'Malva hortensus', 'Malva rosea']","['ncbi:65557', 'gbif:5406789', 'irmng:10204744']",Alcea rosea
False,False,Alkanna orientalis,ICN,1.0,alkanna orientalis,[],False,False,Alkanna orientalis,1046412,species,ott3.6draft1,[],"['ncbi:543563', 'gbif:7295030']",Alkanna orientalis
False,False,Alkekengi officinarum,ICN,1.0,alkekengi officinarum,[],False,False,Alkekengi officinarum,925265,species,ott3.6draft1,"['Boberella alkekengi', 'Megista maxima', 'Physalis alkekengi', 'Physalis alkekengi anthoxantha', 'Physalis halicababum']","['ncbi:33120', 'gbif:3797084']",Alkekengi officinarum
False,False,Alocasia,ICN,1.0,alocasia,[],False,False,Alocasia,481970,genus,ott3.6draft1,"['Schizocasia', 'Xenophya']","['ncbi:4455', 'gbif:5329822', 'irmng:1294033']",Alocasia
False,True,Alonsoa caulialata,ICN,1.0,alonsoa caulialata,[],False,False,Alonsoa meridionalis,1002217,species,ott3.6draft1,"['Alonsoa bidentata', 'Alonsoa caulialata', 'Alonsoa compacta', 'Alonsoa grandiflora', 'Alonsoa incisa', 'Alonsoa incisaefolia', 'Alonsoa incisifolia', 'Alonsoa incisifolia latifolia', 'Alonsoa linearis glaberrima', 'Alonsoa mutisii', 'Alonsoa parviflora', 'Alonsoa peruviana', 'Alonsoa procumbens', 'Alonsoa urticifolia', 'Alonsoa warscewiczii', 'Celsia urticifolia', 'Gerardia stemodiifolia', 'Hemimeris caulialata', 'Hemimeris incisifolia', 'Hemimeris intermedia', 'Hemimeris mutisii', 'Hemimeris parviflora', 'Hemimeris procumbens', 'Hemimeris urticifolia', 'Hemitomus urticifolius', 'Scrophularia meridionalis']","['ncbi:106274', 'gbif:7869713']",Alonsoa meridionalis
False,False,Althaea armeniaca,ICN,1.0,althaea armeniaca,[],False,False,Althaea armeniaca,447106,species,ott3.6draft1,"['Althaea multiflora', 'Althaea taurinensis']","['ncbi:446321', 'gbif:3933860']",Althaea armeniaca
False,False,Althaea cannabina,ICN,1.0,althaea cannabina,[],False,False,Althaea cannabina,447111,species,ott3.6draft1,"['Althaea cannabina narbonensis', 'Althaea kotschyi', 'Althaea narbonensis']","['ncbi:446322', 'gbif:3152519', 'irmng:10200516']",Althaea cannabina
False,False,Amaranthus caudatus,ICN,1.0,amaranthus caudatus,[],False,False,Amaranthus caudatus,317802,species,ott3.6draft1,"['Amaranthus abyssinicus', 'Amaranthus alopecurus', 'Amaranthus anardana', 'Amaranthus arardhanus', 'Amaranthus berchtholdi', 'Amaranthus cararu', 'Amaranthus carau', 'Amaranthus carneus', 'Amaranthus caudatus albiflorus', 'Amaranthus caudatus alopecurus', 'Amaranthus caudatus mantegazzianus', 'Amaranthus caudatus pendulinus', 'Amaranthus caudatus saueri', 'Amaranthus chlorostachys', 'Amaranthus cruentus', 'Amaranthus edulis', 'Amaranthus esculentus', 'Amaranthus farinaceus', 'Amaranthus guadeloupensis', 'Amaranthus guadelupensis', 'Amaranthus hybridus caudatus', 'Amaranthus incarnatus', 'Amaranthus leucocarpus', 'Amaranthus leucocrous', 'Amaranthus leucospermus', 'Amaranthus mantegazzianus', 'Amaranthus mategazzianus', 'Amaranthus maximus', 'Amaranthus montevidensis', 'Amaranthus paniculatus', 'Amaranthus pendulinus', 'Amaranthus pendulus', 'Amaranthus purgans', 'Amaranthus rubescens', 'Amaranthus sanguineus', 'Amaranthus sanguinolentus', 'Amaranthus speciosus', 'Amaranthus violaceus']","['ncbi:3567', 'gbif:6109611', 'irmng:10765587']",Amaranthus caudatus
False,False,Amaranthus hypochondriacus,ICN,1.0,amaranthus hypochondriacus,[],False,False,Amaranthus hypochondriacus,22343,species,ott3.6draft1,"['Amaranthus anardana', 'Amaranthus atrosanguineus', 'Amaranthus frumentaceus', 'Amaranthus hybridus hypochondriacus', 'Amaranthus hybridus var. erythrostachys Moq., 1849', 'Amaranthus hypocondriacus', 'Amaranthus leucocarpus', 'Amaranthus macrostachyus', 'Amaranthus monstrosus']","['ncbi:28502', 'gbif:9080185', 'irmng:11101721']",Amaranthus hypochondriacus
False,False,Amaranthus retroflexus,ICN,1.0,amaranthus retroflexus,[],False,False,Amaranthus retroflexus,892638,species,ott3.6draft1,"['Amaranthus retroflexus retroflexus', 'Amaranthus retroflexus rubricaulis', 'Amaranthus texidoris']","['ncbi:124763', 'gbif:6109534', 'irmng:10204637']",Amaranthus retroflexus
False,False,Amphicarpaea bracteata,ICN,1.0,amphicarpaea bracteata,[],False,False,Amphicarpaea bracteata,1063924,species,ott3.6draft1,"['Amphicarpa bracteata', 'Amphicarpa japonica', 'Amphicarpaea bracteata bracteata', 'Amphicarpaea bracteata comosa', 'Amphicarpaea bracteata pitcheri', 'Amphicarpaea chamaecaulis', 'Amphicarpaea ciliata', 'Amphicarpaea comosa', 'Amphicarpaea cuspidata', 'Amphicarpaea deltifolia', 'Amphicarpaea edgeworthii', 'Amphicarpaea elliottii', 'Amphicarpaea heterophyla', 'Amphicarpaea japonica', 'Amphicarpaea monoica', 'Amphicarpaea monoica comosa', 'Amphicarpaea pitcheri', 'Amphicarpaea sarmentosa', 'Amphicarpaea trisperma', 'Amphicarpaea villosa', 'Falcata bracteata', 'Falcata caroliniana', 'Falcata comosa', 'Falcata edgeworthii', 'Falcata japonica', 'Falcata pitcheri', 'Glycine bracteata', 'Glycine comosa', 'Glycine monoica', 'Glycine sarmentosa', 'Lobomon acutifolium', 'Lobomon montanum', 'Lobomon obtusifolium', 'Lobomon sarmentosum', 'Phaseolus monoicus', 'Phaseolus pitcheri', 'Savia volubilis', 'Shuteria anomala', 'Shuteria trisperma', 'Tetrodea comosa', 'Tetrodea monoica']","['ncbi:45679', 'gbif:2960161', 'irmng:10247939', 'irmng:10167805']",Amphicarpaea bracteata
False,False,Amsonia orientalis,ICN,1.0,amsonia orientalis,[],False,False,Amsonia orientalis,15769,species,ott3.6draft1,"['Rhazya orientalis', 'Rhazya thracica']","['ncbi:141609', 'gbif:3618889']",Amsonia orientalis
