filename	sample_id	sample_type
20240307_EB_dbgi_002496_01_01.mzML	dbgi_002496_01_01	sample
20240307_EB_dbgi_002498_01_01.mzML	dbgi_002498_01_01	sample
20240307_EB_dbgi_002501_01_01.mzML	dbgi_002501_01_01	sample
20240307_EB_dbgi_002509_01_01.mzML	dbgi_002509_01_01	sample
20240307_EB_dbgi_002519_01_01.mzML	dbgi_002519_01_01	sample
20240307_EB_dbgi_002521_01_01.mzML	dbgi_002521_01_01	sample
20240307_EB_dbgi_002523_01_01.mzML	dbgi_002523_01_01	sample
20240307_EB_dbgi_002532_01_01.mzML	dbgi_002532_01_01	sample
20240307_EB_dbgi_002536_01_01.mzML	dbgi_002536_01_01	sample
20240307_EB_dbgi_002542_01_01.mzML	dbgi_002542_01_01	sample
20240307_EB_dbgi_002543_01_01.mzML	dbgi_002543_01_01	sample
20240307_EB_dbgi_002566_01_01.mzML	dbgi_002566_01_01	sample
20240307_EB_dbgi_002592_01_01.mzML	dbgi_002592_01_01	sample
20240307_EB_dbgi_002600_01_01.mzML	dbgi_002600_01_01	sample
20240307_EB_dbgi_002603_01_01.mzML	dbgi_002603_01_01	sample
20240307_EB_dbgi_002606_01_01.mzML	dbgi_002606_01_01	sample
20240307_EB_dbgi_002607_01_01.mzML	dbgi_002607_01_01	sample
20240307_EB_dbgi_002613_01_01.mzML	dbgi_002613_01_01	sample
20240307_EB_dbgi_002618_01_01.mzML	dbgi_002618_01_01	sample
20240307_EB_dbgi_002622_01_01.mzML	dbgi_002622_01_01	sample
20240307_EB_dbgi_002623_01_01.mzML	dbgi_002623_01_01	sample
20240307_EB_dbgi_002624_01_01.mzML	dbgi_002624_01_01	sample
20240307_EB_dbgi_002628_01_01.mzML	dbgi_002628_01_01	sample
20240307_EB_dbgi_002635_01_01.mzML	dbgi_002635_01_01	sample
20240307_EB_dbgi_002636_01_01.mzML	dbgi_002636_01_01	sample
20240307_EB_dbgi_002641_01_01.mzML	dbgi_002641_01_01	sample
20240307_EB_dbgi_002642_01_01.mzML	dbgi_002642_01_01	sample
20240307_EB_dbgi_002643_01_01.mzML	dbgi_002643_01_01	sample
20240307_EB_dbgi_002645_01_01.mzML	dbgi_002645_01_01	sample
20240307_EB_dbgi_002648_01_01.mzML	dbgi_002648_01_01	sample
20240307_EB_dbgi_002650_01_01.mzML	dbgi_002650_01_01	sample
20240307_EB_dbgi_002652_01_01.mzML	dbgi_002652_01_01	sample
20240307_EB_dbgi_002653_01_01.mzML	dbgi_002653_01_01	sample
20240307_EB_dbgi_002660_01_01.mzML	dbgi_002660_01_01	sample
20240307_EB_dbgi_002661_01_01.mzML	dbgi_002661_01_01	sample
20240307_EB_dbgi_002665_01_01.mzML	dbgi_002665_01_01	sample
20240307_EB_dbgi_002666_01_01.mzML	dbgi_002666_01_01	sample
20240307_EB_dbgi_002671_01_01.mzML	dbgi_002671_01_01	sample
20240307_EB_dbgi_002677_01_01.mzML	dbgi_002677_01_01	sample
20240307_EB_dbgi_002690_01_01.mzML	dbgi_002690_01_01	sample
20240307_EB_dbgi_002693_01_01.mzML	dbgi_002693_01_01	sample
20240307_EB_dbgi_002698_01_01.mzML	dbgi_002698_01_01	sample
20240307_EB_dbgi_002699_01_01.mzML	dbgi_002699_01_01	sample
20240307_EB_dbgi_002702_01_01.mzML	dbgi_002702_01_01	sample
20240307_EB_dbgi_002704_01_01.mzML	dbgi_002704_01_01	sample
20240307_EB_dbgi_002715_01_01.mzML	dbgi_002715_01_01	sample
20240307_EB_dbgi_002725_01_01.mzML	dbgi_002725_01_01	sample
20240307_EB_dbgi_002727_01_01.mzML	dbgi_002727_01_01	sample
20240307_EB_dbgi_002728_01_01.mzML	dbgi_002728_01_01	sample
20240307_EB_dbgi_002729_01_01.mzML	dbgi_002729_01_01	sample
20240307_EB_dbgi_002732_01_01.mzML	dbgi_002732_01_01	sample
20240307_EB_dbgi_002733_01_01.mzML	dbgi_002733_01_01	sample
20240307_EB_dbgi_002743_01_01.mzML	dbgi_002743_01_01	sample
20240307_EB_dbgi_002747_01_01.mzML	dbgi_002747_01_01	sample
20240307_EB_dbgi_002959_01_01.mzML	dbgi_002959_01_01	sample
20240307_EB_dbgi_002962_01_01.mzML	dbgi_002962_01_01	sample
20240307_EB_dbgi_002972_01_01.mzML	dbgi_002972_01_01	sample
20240307_EB_dbgi_002975_01_01.mzML	dbgi_002975_01_01	sample
20240307_EB_dbgi_002990_01_01.mzML	dbgi_002990_01_01	sample
20240307_EB_dbgi_003010_01_01.mzML	dbgi_003010_01_01	sample
20240307_EB_dbgi_003011_01_01.mzML	dbgi_003011_01_01	sample
20240307_EB_dbgi_003013_01_01.mzML	dbgi_003013_01_01	sample
20240307_EB_dbgi_003016_01_01.mzML	dbgi_003016_01_01	sample
20240307_EB_dbgi_003021_01_01.mzML	dbgi_003021_01_01	sample
20240307_EB_dbgi_003029_01_01.mzML	dbgi_003029_01_01	sample
20240307_EB_dbgi_003030_01_01.mzML	dbgi_003030_01_01	sample
20240307_EB_dbgi_003035_01_01.mzML	dbgi_003035_01_01	sample
20240307_EB_dbgi_003036_01_01.mzML	dbgi_003036_01_01	sample
20240307_EB_dbgi_003039_01_01.mzML	dbgi_003039_01_01	sample
20240307_EB_dbgi_003040_01_01.mzML	dbgi_003040_01_01	sample
20240307_EB_dbgi_003043_01_01.mzML	dbgi_003043_01_01	sample
20240307_EB_dbgi_003045_01_01.mzML	dbgi_003045_01_01	sample
20240307_EB_dbgi_003046_01_01.mzML	dbgi_003046_01_01	sample
20240307_EB_dbgi_003049_01_01.mzML	dbgi_003049_01_01	sample
20240307_EB_dbgi_003050_01_01.mzML	dbgi_003050_01_01	sample
20240307_EB_dbgi_003051_01_01.mzML	dbgi_003051_01_01	sample
20240307_EB_dbgi_003056_01_01.mzML	dbgi_003056_01_01	sample
20240307_EB_dbgi_003058_01_01.mzML	dbgi_003058_01_01	sample
20240307_EB_dbgi_batch_blk_000005_01.mzML	dbgi_batch_blk_000005_01	blank
20240405_EB_dbgi_001189_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_001189_01_01	sample
20240405_EB_dbgi_001191_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_001191_01_01	sample
20240405_EB_dbgi_001201_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_001201_01_01	sample
20240405_EB_dbgi_001778_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_001778_01_01	sample
20240405_EB_dbgi_001793_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_001793_01_01	sample
20240405_EB_dbgi_001797_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_001797_01_01	sample
20240405_EB_dbgi_001798_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_001798_01_01	sample
20240405_EB_dbgi_001812_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_001812_01_01	sample
20240405_EB_dbgi_001825_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_001825_01_01	sample
20240405_EB_dbgi_001832_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_001832_01_01	sample
20240405_EB_dbgi_001842_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_001842_01_01	sample
20240405_EB_dbgi_001846_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_001846_01_01	sample
20240405_EB_dbgi_001855_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_001855_01_01	sample
20240405_EB_dbgi_001866_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_001866_01_01	sample
20240405_EB_dbgi_001880_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_001880_01_01	sample
20240405_EB_dbgi_001889_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_001889_01_01	sample
20240405_EB_dbgi_001890_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_001890_01_01	sample
20240405_EB_dbgi_001898_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_001898_01_01	sample
20240405_EB_dbgi_001906_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_001906_01_01	sample
20240405_EB_dbgi_001925_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_001925_01_01	sample
20240405_EB_dbgi_001927_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_001927_01_01	sample
20240405_EB_dbgi_001933_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_001933_01_01	sample
