ott_id,organism_otol_kingdom,organism_otol_phylum,organism_otol_class,organism_otol_order,organism_otol_family,organism_otol_genus,organism_otol_species,organism_otol_unique_name,organism_otol_kingdom_ott_id,organism_otol_phylum_ott_id,organism_otol_class_ott_id,organism_otol_order_ott_id,organism_otol_family_ott_id,organism_otol_genus_ott_id,organism_otol_species_ott_id,domain,infrakingdom,no rank,section,subclass,subfamily,subgenus,subkingdom,suborder,subphylum,subtribe,superorder,tribe,domain_ott_id,infrakingdom_ott_id,no rank_ott_id,section_ott_id,subclass_ott_id,subfamily_ott_id,subgenus_ott_id,subkingdom_ott_id,suborder_ott_id,subphylum_ott_id,subtribe_ott_id,superorder_ott_id,tribe_ott_id,flags,rank,varietas,varietas_ott_id
991885,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cynara,Cynara cardunculus,Cynara cardunculus,5268475.0,916750.0,99252.0,1042120.0,46248.0,991883.0,991885.0,Eukaryota,,life,,,Carduoideae,,,,,Carduinae,campanulids,Cardueae,304358.0,,805080.0,,,527107.0,,,,,627940.0,596121.0,557760.0,[],species,,
992152,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,Blitum,Blitum bonus-henricus,Blitum bonus-henricus,5268475.0,916750.0,99252.0,216628.0,5920024.0,621958.0,992152.0,Eukaryota,,life,,,Chenopodioideae,,,,,,,Anserineae,304358.0,,805080.0,,,4724258.0,,,,,,,4724266.0,[],species,,
1001031,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Coreopsis,Coreopsis grandiflora,Coreopsis grandiflora,5268475.0,916750.0,99252.0,1042120.0,46248.0,1001033.0,1001031.0,Eukaryota,,life,,,Asteroideae,,,,,,campanulids,Coreopsideae,304358.0,,805080.0,,,1084160.0,,,,,,596121.0,57535.0,['sibling_higher'],species,,
1001417,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium,Cerastium tomentosum,Cerastium tomentosum,5268475.0,916750.0,99252.0,216628.0,317818.0,842191.0,1001417.0,Eukaryota,,life,,,,,,,,,,Alsineae,304358.0,,805080.0,,,,,,,,,,5920000.0,[],species,,
1001432,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium,Cerastium arvense,Cerastium arvense,5268475.0,916750.0,99252.0,216628.0,317818.0,842191.0,1001432.0,Eukaryota,,life,,,,,,,,,,Alsineae,304358.0,,805080.0,,,,,,,,,,5920000.0,[],species,,
1001977,Archaeplastida,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum richardii,Solanum richardii,5268475.0,916750.0,99252.0,1050255.0,473827.0,1020645.0,1001977.0,Eukaryota,,life,,,Solanoideae,,,,,,,Solaneae,304358.0,,805080.0,,,13867.0,,,,,,,1061420.0,['sibling_higher'],species,,
1002217,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Alonsoa,Alonsoa meridionalis,Alonsoa meridionalis,5268475.0,916750.0,99252.0,23736.0,23713.0,45953.0,1002217.0,Eukaryota,,life,,,,,,,,,,Hemimerideae,304358.0,,805080.0,,,,,,,,,,272505.0,[],species,,
1003614,Archaeplastida,Streptophyta,Magnoliopsida,Alismatales,Araceae,Aglaonema,Aglaonema modestum,Aglaonema modestum,5268475.0,916750.0,99252.0,399481.0,481972.0,1003617.0,1003614.0,Eukaryota,,life,,,Philodendroideae,,,,,,,Aglaonemateae,304358.0,,805080.0,,,413471.0,,,,,,,316046.0,[],species,,
1004570,Archaeplastida,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus padus,Prunus padus,5268475.0,916750.0,99252.0,208031.0,208036.0,731578.0,1004570.0,Eukaryota,,life,,,Amygdaloideae,,,,,,,Amygdaleae,304358.0,,805080.0,,,731134.0,,,,,,,376842.0,['sibling_higher'],species,,
1004833,Archaeplastida,Streptophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Delphinium,Delphinium grandiflorum,Delphinium grandiflorum,5268475.0,916750.0,99252.0,872975.0,387826.0,518366.0,1004833.0,Eukaryota,,life,,,Ranunculoideae,,,,,,,Delphinieae,304358.0,,805080.0,,,5479016.0,,,,,,,5494506.0,[],species,,
