cluster index	parent mass	RTMean
1	244.9467824258508	0.49231347
2	286.9583653606803	0.49706915
3	255.9388697320552	0.4977387
4	398.9056831159502	0.50051534
5	268.94774994056473	0.5037053
6	234.9612405484465	0.5048334
7	312.92013261441093	0.5086986
8	265.0154737664524	0.51017517
9	218.9836716209148	0.51020664
10	241.9995534212474	0.5110899
11	369.9245580855543	0.51157683
12	442.8781684640469	0.5126279
13	257.9770710439774	0.5127813
14	200.9730609521148	0.5134731
15	182.96249376051884	0.51370865
16	458.8558545516029	0.5139464
17	243.0007951529469	0.5141327
18	328.897889544427	0.51454103
19	239.96658993426027	0.514793
20	217.95166744032247	0.51509976
21	198.94011331517348	0.51571244
22	216.95066575159447	0.51576006
23	241.9638262545701	0.5159448
24	422.37888349702433	0.5162201
25	588.8137074156376	0.5162201
26	474.8334416427533	0.5171597
27	344.8754332288996	0.51720226
28	218.9477569243527	0.5174718
29	143.9968939021933	0.5193083
30	232.92826120993004	0.5193491
31	240.96793228560105	0.5194368
32	357.39996253155005	0.5200097
33	385.9021199745179	0.5200097
34	218.9105384359748	0.52157557
35	215.9210138385832	0.5217612
36	214.91764583484587	0.5221803
37	184.02818678490368	0.5225687
38	255.9441295590552	0.5232517
39	221.1284638928036	0.5316278
40	126.98980045077364	0.5337167
41	350.8853090112684	0.5352931
42	298.8790045371785	0.5417353
43	488.7893708207423	0.54413617
44	382.840351696038	0.5495324
45	404.8279280128718	0.5506034
46	332.99799519127055	0.55244625
47	320.8664112738299	0.5527878
48	251.0611374615539	0.5529494
49	289.0168832800276	0.5529494
50	236.9049764099817	0.5552314
51	430.9139225603432	0.5558181
52	362.9263232745936	0.55733436
53	252.88243713827444	0.5589812
54	374.8087599858846	0.5591732
55	458.7701655392965	0.5591732
56	542.731730368614	0.5591732
57	336.8437762812575	0.5605421
58	550.7630976252253	0.5620616
59	249.04620511117184	0.56299704
60	208.8840385640985	0.56362104
61	131.54241528472255	0.5647951
62	287.0015927054782	0.56519186
63	292.8452743874183	0.56522304
64	206.88599719523972	0.56632346
65	290.8472199755364	0.5663293
66	122.9246993666418	0.56834507
67	265.02335520203366	0.56834024
68	181.9617185966094	0.5708877
69	139.5310844603248	0.57160556
70	420.8051029460277	0.57368433
71	256.98238068217154	0.57414824
72	193.0631659919606	0.57532007
73	130.52589191335076	0.5772119
74	195.97744653967564	0.5822543
75	222.98818536236172	0.5822543
76	296.0654212397452	0.58269674
77	290.57745805575667	0.5881241
78	212.8518881595033	0.589539
79	192.05539505773143	0.5916739
80	219.0265899242763	0.5917949
81	200.0441908281981	0.5919003
82	183.0501211481642	0.5932956
83	445.08666035559605	0.5937498
84	282.087125356432	0.5946127
85	465.0405082722479	0.59519786
86	272.9774057730244	0.5955227
87	268.98207216848937	0.59679466
88	205.0682592312347	0.5968286
89	221.0419876087201	0.59713095
90	290.07576562345224	0.5971335
91	279.04772524103083	0.5985132
92	191.0388178869368	0.5994894
93	194.0710435252606	0.59953654
94	383.09637852794935	0.59953654
95	387.1340811037902	0.59953654
96	174.8959542656023	0.6015722
97	212.8422382389633	0.60225075
98	427.0757867441272	0.60377556
99	353.0846993608184	0.60476124
100	219.04860099781112	0.60536087
101	411.0980509854053	0.60680217
102	455.11648858437	0.60724384
103	273.0817194657659	0.6078907
104	323.0736698325368	0.6080281
105	182.94566135457504	0.6081017
106	241.1546025359289	0.6085089
107	293.06303839396605	0.6104932
108	220.02999867975063	0.6105385
109	235.02129099075643	0.61117065
110	371.1023886185811	0.61165035
111	281.0703142383613	0.6123662
112	249.0364679563029	0.61416817
113	381.0793019210143	0.6145187
114	455.0120749048337	0.6148738
115	172.09686444109215	0.6156602
116	517.0094598939584	0.6158597
117	362.0968250746226	0.6163859
118	176.01086954965726	0.61671746
119	384.0812082941858	0.6169754
120	354.10807582076336	0.6172127
121	543.1325481011298	0.61746347
122	201.05200246123005	0.61893415
123	231.02645898618417	0.6190078
124	533.1547771982865	0.6206371
125	351.0687386545817	0.6208288
126	525.1658997045802	0.62112194
127	137.0652064564215	0.6266164
128	183.08638837749788	0.62700033
129	130.05001611301233	0.62773836
130	148.06041934496747	0.627963
131	134.117695489977	0.6283246
132	490.1767595073505	0.6289205
133	136.07587567740578	0.6296248
134	263.01629769483253	0.6303237
135	175.10780225192104	0.6320502
136	198.0972553286649	0.63289315
137	304.15036186779673	0.63308096
138	142.1227260130225	0.6334657
139	263.0523247861173	0.6335552
140	147.06516081517296	0.6345573
141	180.08664286514144	0.6350415
142	147.07642047640385	0.6352529
143	203.05263353565192	0.63530606
144	306.0485437354042	0.6378309
145	233.04192331322344	0.638307
146	230.9901593559621	0.6385479
147	296.0575274724961	0.6387453
148	129.05469803289225	0.64005417
149	193.0706674104744	0.6405113
150	255.09710702237183	0.64102685
151	337.0893805288804	0.641407
152	214.09212422591887	0.6415411
153	146.11770603294016	0.64278233
154	147.12083773798392	0.64278233
155	146.09243494733235	0.64314455
156	165.0757671843006	0.64314455
157	206.02603106424328	0.64331937
158	210.940584549338	0.644033
159	330.1392953302327	0.646347
160	163.05994228798406	0.6469758
161	145.04956537114418	0.64701444
162	343.12336580221347	0.6471535
163	176.09173777798162	0.6471975
164	184.07326607728555	0.6475471
165	360.1499912116147	0.64846224
166	177.02325243888367	0.6487514
167	148.09676110729538	0.6502086
168	353.03906128296626	0.6511351
169	203.0038752862731	0.6521101
170	136.06191648410362	0.6521976
171	127.03917177252104	0.6526018
172	179.0550548821892	0.65286183
173	515.0923383510647	0.6530393
174	499.11431687066994	0.65392965
175	210.0971558002958	0.654326
176	258.0496913091208	0.65532434
177	192.15955193631385	0.65805984
178	160.0968107308027	0.6593286
179	335.0742836145737	0.65991753
180	365.1054251136376	0.6606414
181	325.11282859539955	0.663262
182	259.0812493757557	0.6633047
183	133.04968516929634	0.66394925
184	189.1597494001396	0.66395485
185	258.109108716405	0.66685665
186	289.0916104622157	0.66753393
187	307.1019447961408	0.6682118
188	139.05827171928362	0.6713619
189	174.1125432743011	0.671925
190	215.0514511930995	0.6728557
191	213.063595221792	0.6780146
192	256.0816105446607	0.6782103
193	242.08696179537927	0.6841695
194	138.05502858300733	0.68530536
195	189.03938238788223	0.68568796
196	146.1651888899748	0.6936663
197	242.9903130136203	0.6988817
198	221.12835526898417	0.7005808
199	244.11140899256355	0.7049296
200	388.1808048298096	0.7102559
201	124.03952952330258	0.7179074
202	195.0862539251824	0.7303431
203	247.0424972653621	0.7310177
204	291.01960635905016	0.73177564
205	135.0441955068685	0.73295134
206	136.0619190905162	0.7385422
207	321.9618187149537	0.74365544
208	306.99728157246363	0.7487922
209	157.01081346718524	0.7511136
210	157.01317952726689	0.7512903
211	212.1127333907308	0.7534034
212	217.06818443669	0.7534034
213	150.07748357942518	0.7542249
214	130.08639619333889	0.75464696
215	203.00384431657776	0.77581936
216	324.05913363535285	0.7764819
217	152.07070521621137	0.77849185
218	134.0601833582981	0.78024894
219	210.06084530224416	0.7849012
220	192.0498703091812	0.79064274
221	212.979458665566	0.79064274
222	307.07950499848346	0.7931882
223	335.074179240015	0.79410225
224	192.1595382968507	0.79473174
225	330.1183543288219	0.79560155
226	166.08630566102585	0.79580134
227	218.9814235976203	0.79853857
228	155.08932634143753	0.80161333
229	137.0596648457884	0.8022113
230	314.1444854079708	0.80716294
231	261.0580512027169	0.81125253
232	275.05267317389263	0.8145948
233	154.0862575578822	0.81803703
234	175.02374367447445	0.8193799
235	304.0793441071487	0.81966215
236	230.99022962647777	0.8201839
237	215.01621211876468	0.8210384
238	193.0344032742676	0.8215967
239	284.1340237598863	0.82182926
240	242.98237508507384	0.82979137
241	330.05981149337447	0.8420975
242	277.0322339586881	0.842626
243	170.08124194345024	0.8439563
244	256.1024259276526	0.84437746
245	188.0917956214471	0.8487953
246	332.1339312079741	0.849153
247	263.01636150625825	0.84919834
248	270.11836271446924	0.84940886
249	198.14889572518703	0.85933423
250	162.07613709867692	0.8598597
251	166.04996700679996	0.8642924
252	221.12845962275003	0.86514086
253	245.005944793722	0.87012327
254	236.076424790892	0.8821221
255	228.96685683363933	0.8881602
256	307.08313454873854	0.8986314
257	189.03939426268136	0.9010208
258	304.1179416471147	0.9021376
259	256.1391549255709	0.9033717
260	185.00812595818525	0.90469855
261	346.05480549719664	0.9052012
262	214.0023231240798	0.906827
263	284.1699434881873	0.91154486
264	277.06830478604195	0.91294146
265	182.08128280139536	0.91541576
266	321.09476659709014	0.92549473
267	176.01090527934548	0.93219835
268	247.0578121982534	0.93961483
269	219.02658617563475	0.94234645
270	200.1282006621257	0.94458073
271	265.0234020478845	0.95065606
272	176.09182182006543	0.9620696
273	298.14969065137706	0.96256036
274	171.02883133765755	0.9760567
275	303.10508759400165	0.9774915
276	188.05539662559548	0.9941252
277	138.09139298398867	1.0153487
278	121.06509062107575	1.022206
279	268.1040290106424	1.0293415
280	350.1084327608995	1.0371839
281	152.07067046949362	1.061356
282	132.10208315534385	1.1023878
283	322.05482869825187	1.107133
284	284.0989817464744	1.1235558
285	152.0567706613079	1.1275268
286	164.07048739724826	1.1322132
287	316.0793567685734	1.1473876
288	214.91768372197845	1.2380297
289	249.0458494364852	1.2408406
290	232.9282234556532	1.2618575
291	335.0739065548257	1.2711382
292	352.0793276783272	1.2802995
293	422.1281041777781	1.2825752
294	438.1021281077993	1.2825752
295	345.08169684664296	1.2877756
296	251.06122839549008	1.2887877
297	400.1462800740435	1.29505
298	249.0363369980529	1.3002757
299	198.14891025496195	1.306133
300	139.53108222468404	1.3088567
301	291.08404606507474	1.3111477
302	160.0757496319406	1.3115329
303	177.10230095432632	1.3115329
304	229.03745135876085	1.3115329
305	200.0441951320888	1.3231286
306	148.06049187709925	1.324838
307	219.02659084160288	1.329671
308	176.09181037238702	1.3304473
309	381.0794272490392	1.33286
310	198.09728934511764	1.335036
311	343.1233260310436	1.3397695
312	192.0555211530492	1.3403991
313	176.01092221005177	1.3410271
314	249.04618248016223	1.3413934
315	150.05501512160072	1.344841
316	121.02868304268496	1.3450623
317	139.03910249248375	1.3450623
318	191.03395607392136	1.3450623
319	209.04459610785383	1.3450623
320	227.0550554741012	1.3450623
321	245.0656935058882	1.3450623
322	262.0922165183429	1.3450623
323	267.0477990617485	1.3450623
324	283.0215838275162	1.3450623
325	320.97766536992464	1.3450623
326	332.1105992369432	1.3476335
327	296.0659972748836	1.3535688
328	189.0523879888233	1.3551537
329	411.09834246715593	1.3551894
330	265.0233136942265	1.3611503
331	427.0759741010658	1.3614655
332	336.1649881692225	1.3625176
333	329.06327532333376	1.3637629
334	180.08668818769095	1.3671188
335	308.1339174890692	1.3692904
336	313.08929117451106	1.3692904
337	127.0392036259137	1.3695477
338	129.0547785999088	1.3696253
339	180.10173156781764	1.3722128
340	415.1000538695539	1.3846136
341	151.07544445048848	1.3878665
342	163.0865862522881	1.3891184
343	263.01633776429827	1.3894625
344	168.1019727577193	1.3909309
345	178.0863094565034	1.3952363
346	210.94067254943508	1.4089266
347	291.08405278934407	1.4108082
348	282.1548094711811	1.4165268
349	209.1285265814913	1.4229419
350	247.084357673303	1.4229419
351	303.0841243177371	1.4286779
352	233.04220870420653	1.4374775
353	186.1489279724316	1.4405798
354	358.17089203256785	1.4427694
355	379.1002064535512	1.4427694
356	214.0023255434365	1.445597
357	353.0391435994528	1.4456517
358	218.9814862457453	1.4466026
359	341.06410697559	1.4472257
360	251.0611998440507	1.4473221
361	160.09688232612646	1.4534798
362	277.0324611410361	1.4632252
363	310.1495571727608	1.4773293
364	286.14412327500446	1.4807599
365	324.0998189681887	1.4807599
366	340.0949671477505	1.4807599
367	255.09724939382448	1.4815987
368	331.0790583803248	1.4857011
369	131.07038581512523	1.4861021
370	338.18091090304785	1.4861021
371	174.11257900138062	1.4870543
372	293.06332594874425	1.4872957
373	323.0920721204614	1.4930286
374	315.1050953172075	1.494623
375	210.9407038461674	1.4951425
376	259.0812407193339	1.495999
377	427.0760475855095	1.4979116
378	148.06047896429507	1.4998333
379	381.0794135191768	1.503077
380	289.0917039427256	1.5044389
381	237.64976866937525	1.5050997
382	180.08669551855104	1.5051799
383	138.0550687740333	1.5052559
384	142.12277823123193	1.5070523
385	145.04960580730457	1.507132
386	325.1129090564227	1.5075742
387	147.06526050902593	1.5082486
388	165.0758620802013	1.5082486
389	183.0864383227484	1.5082486
390	221.0422329461761	1.5082486
391	223.03962414369465	1.5082486
392	203.05264924255496	1.5103905
393	360.1500340321384	1.5110843
394	314.14456130585927	1.513887
